JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2459919.377083333, A.D. 2022-Dec-05 21:03:00.0000,  2.854510593119015E+05,  2.793122552829957E+05, -3.174486611873624E+03,  2.519753202141259E-01, -5.369737838557965E-02, -2.204286642577754E-01,
2459919.418750000, A.D. 2022-Dec-05 22:03:00.0000,  2.862978905969508E+05,  2.791344046512180E+05, -3.952540564906725E+03,  2.200984404625272E-01, -4.583554397710496E-02, -2.123245279442487E-01,
2459919.460416667, A.D. 2022-Dec-05 23:03:00.0000,  2.870446179251599E+05,  2.789780513280098E+05, -4.705975913596383E+03,  1.956930066099648E-01, -4.149418216836485E-02, -2.065440430420912E-01,
2459919.502083333, A.D. 2022-Dec-06 00:03:00.0000,  2.877122898744593E+05,  2.788328794870403E+05, -5.441340004852900E+03,  1.758370621083067E-01, -3.947407275975576E-02, -2.021783455535218E-01,
2459919.543750000, A.D. 2022-Dec-06 01:03:00.0000,  2.883142046199226E+05,  2.786919144895317E+05, -6.162764247927465E+03,  1.589678893775478E-01, -3.906526552534353E-02, -1.987391511531819E-01,
2459919.585416667, A.D. 2022-Dec-06 02:03:00.0000,  2.888593318607675E+05,  2.785502177535917E+05, -6.873025456280579E+03,  1.441705472890709E-01, -3.982117310799597E-02, -1.959396476609346E-01,
2459919.627083333, A.D. 2022-Dec-06 03:03:00.0000,  2.893540237119221E+05,  2.784041619648074E+05, -7.574078964254499E+03,  1.308720790649297E-01, -4.144679257831421E-02, -1.935998129324102E-01,
2459919.668750000, A.D. 2022-Dec-06 04:03:00.0000,  2.898029522723434E+05,  2.782510019338323E+05, -8.267345750638095E+03,  1.187383842728957E-01, -4.377920625658213E-02, -1.913339410780378E-01,
2459919.710416667, A.D. 2022-Dec-06 05:03:00.0000,  2.902123452267337E+05,  2.780861683431861E+05, -8.937410604592034E+03,  1.074249876371494E-01, -4.659810939251623E-02, -1.895233642972469E-01,
2459919.752083333, A.D. 2022-Dec-06 06:03:00.0000,  2.905797407077992E+05,  2.779127081055337E+05, -9.616873603739979E+03,  9.678375785298357E-02, -4.983113547411373E-02, -1.879855336604645E-01,
2459919.793750000, A.D. 2022-Dec-06 07:03:00.0000,  2.909098355635740E+05,  2.777269775331902E+05, -1.029109531721119E+04,  8.668303538458579E-02, -5.340363785406686E-02, -1.866054439866464E-01,
2459919.835416667, A.D. 2022-Dec-06 08:03:00.0000,  2.912040386260159E+05,  2.775283553594148E+05, -1.095744102504280E+04,  7.699814842760599E-02, -5.723119292821788E-02, -1.853319947457076E-01,
2459919.877083333, A.D. 2022-Dec-06 09:03:00.0000,  2.914628672367050E+05,  2.773162732839712E+05, -1.163154700262476E+04,  6.766321693347162E-02, -6.128903265589407E-02, -1.843858811046354E-01,
